pair,family_type,assessment_family,different_lineages,comparable_lineages,projects,rate,ci_low,ci_high,cohort,observational_unit
Debian ↔ Fedora,CROSS_FAMILY,AmbientCapabilities,2,335,178,0.005970149253731343,0.0,0.01716799685182679,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,CapabilityBoundingSet,20,335,178,0.05970149253731343,0.032454361054766734,0.10288374927144595,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,Delegate,0,335,178,0.0,0.0,0.0,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,DeviceAllow,14,335,178,0.041791044776119404,0.021275184829843672,0.07627118644067797,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,IPAddressDeny,0,335,178,0.0,0.0,0.0,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,KeyringMode,0,335,178,0.0,0.0,0.0,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,LockPersonality,10,335,178,0.029850746268656716,0.011203180156821093,0.06093189964157706,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,MemoryDenyWriteExecute,14,335,178,0.041791044776119404,0.018691588785046728,0.07936507936507936,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,NoNewPrivileges,12,335,178,0.03582089552238806,0.014632370352829743,0.06909127864005912,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,NotifyAccess,1,335,178,0.0029850746268656717,0.0,0.011673151750972763,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,PrivateDevices,11,335,178,0.03283582089552239,0.015196417058119187,0.06130268199233716,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,PrivateMounts,0,335,178,0.0,0.0,0.0,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,PrivateNetwork,0,335,178,0.0,0.0,0.0,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,PrivateTmp,22,335,178,0.06567164179104477,0.031629645943451634,0.11836734693877551,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,PrivateUsers,2,335,178,0.005970149253731343,0.0,0.022144336685002475,C1X,lineage-family
Debian ↔ Fedora,CROSS_FAMILY,ProcSubset,1,335,178,0.0029850746268656717,0.0,0.011834319526627219,C1X,lineage-family
